1,color illustrations,Subject illustrations (in color)
2,color plates,Color plates
3,color profiles,Color profiles
4,coloring guides,Coloring guides
5,construction,Focus on construction
6,conversion,Involves a major conversion
7,cut-away,Cut-away drawings
8,detail illustration,Illustrations of details
9,detailing,Focus on additional detailing
10,diorama,Diorama subject
11,drawings,Drawings of subject
12,finishing,Focus on painting and weathering
13,history,History-oriented
14,illustrations,Subject illustrations
15,interior drawings,Interior drawings
16,line drawings,Subject line drawings
17,painting,Focus on painting
18,photo essay,A series of photos with little or no text
19,photos,Includes photos of the prototype
20,placeholder,A placeholder for an issue (no content)
21,profiles,Profiles of the subject
22,review,Kit review
23,scale plans,Scale plans of the subject
24,scratchbuilding,Focus on scratchbuilding
25,sidebar,An article sidebar
26,single topic issue,Issue covers only the one topic
27,techniques,Focus on modeling techniques
28,unknown,Unknown feature type
29,walk-around,Walk-around of the subject
